ID,commune,sol_simple,pluie,taux_moyen,taux_med,pente_moy,tri_moy,tpi_moy,rug_moy,omb_moy,expo_moy,X,Y,nb_mesures,histo_banane,longitude,latitude,niveau_risque,nb_parcelles,taux_moy_commune,taux_med_commune,part_risque_eleve,risque_95
63357,LAMENTIN(LE),Ferralsol,2000-3000,0.0039,0.0039,14.58534614510972,2.812419337131775,0.11623038600526331,8.74171704860336,162.4789984338315,84.84327205229995,714248.6286218525,1620535.1591901411,8,,-61.010680051227034,14.649811790968634,modéré,272.0,0.20619485294117648,0.00165,0.0,False
63358,LAMENTIN(LE),Ferralsol,2000-3000,0.0025,0.0025,10.235383352159536,2.2730115744826893,0.7365881361477569,7.058076078686489,192.081983592566,276.93823813353714,714708.1068026865,1621069.1916732134,12,,-61.00637194864387,14.654600794760471,modéré,272.0,0.20619485294117648,0.00165,0.0,False
63359,LAMENTIN(LE),Ferralsol,2000-3000,0.0005,0.0005,19.88760712517087,3.979521372616719,0.5223690159560622,11.372778968032389,201.37253286693561,268.8889873049032,720545.6447398725,1616912.356607077,10,1,-60.952541540267106,14.616570021185417,modéré,272.0,0.20619485294117648,0.00165,0.0,False
63360,SAINTE-MARIE,Andosol,2000-3000,0.0016999999999999997,0.0017,16.76821252805052,3.5455846878161723,1.4650112908932218,11.975349109364192,201.875089160781,293.2889375170284,715823.9397681791,1631823.7953379261,5,,-60.99512876387631,14.751689261654585,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63361,SAINTE-MARIE,Andosol,2000-3000,0.21670000000000003,0.2167,27.16502319349473,5.499195943110911,0.8973024887970465,17.158988282294228,152.97442316874915,199.46436304497843,713985.2176783598,1630999.8665539126,14,,-61.01226958272555,14.744391744289176,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63362,SAINTE-MARIE,Andosol,2000-3000,0.0005,0.0005,28.244133881670866,6.15450939239613,-1.3648071688420933,18.839468710574568,185.79166477077501,31.146539513480104,710613.9377983432,1632159.6483561834,6,,-61.0434789459603,14.755138640452564,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63363,SAINTE-MARIE,Andosol,2000-3000,0.0005,0.0005,24.9726698186311,5.201970842829319,-1.1097294407806124,15.720395664226734,148.88922603776498,182.81213616706532,713077.7069123191,1630917.7673533168,6,,-61.02070264910221,14.743722175634787,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63364,SAINTE-MARIE,Andosol,2000-3000,0.0055,0.0055,14.475968005938181,2.866000201956913,0.2696665986087282,10.001471377952884,153.6013752303859,132.0999846303658,712687.3490854079,1634706.0087341366,11,1,-61.02401797872936,14.777983756006082,modéré,202.0,0.3295316831683168,0.01515,0.0,False
63365,GROS-MORNE,Andosol,2000-3000,0.0005,0.0005,17.3913563566023,3.693670075307464,1.4454598223012731,10.239502162150982,150.82296733895612,135.1699765262117,713433.602515124,1629691.3096741799,16,,-61.017498398499164,14.732611607900484,modéré,216.0,0.2699752314814815,0.00165,0.0,False
63366,TRINITE(LA),Andosol,2000-3000,0.0005,0.0005,15.944084013547808,3.193471236974925,-0.6127131549698872,11.2515405716168,173.73926534799622,214.70510654220746,716389.9095894197,1631628.547036139,13,1,-60.989889761199485,14.749879387377145,modéré,153.0,0.3651392156862745,0.0048,0.0,False
